 ,SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
 ,-0.698723562,0.357147018,0.153356476,0.669131741,0.296314129,0.304184468,-0.683927651,0.030416444,-0.075413996,0.683927651,-0.030416444,0.075413996,-0.624902383,-0.3237024,-0.333430419,0.654494203,-0.329758747,-0.124110525
 ,-0.768786982,0.388128315,0.204367589,0.706075821,0.322536462,0.366994875,-0.705144159,0.006306708,-0.073833493,0.67433979,-0.000223429,0.151861524,-0.577338379,-0.346104752,-0.408213179,0.67085391,-0.370643304,-0.241177315
 ,-0.574158694,0.266784899,0.199562765,0.488915611,0.261752568,0.37349054,-0.475667486,-0.004794605,-0.05812088,0.486229281,-0.023704796,0.070602281,-0.462024075,-0.253072919,-0.371506246,0.536705363,-0.246965148,-0.214028462
 ,-0.415798469,0.198694139,0.199154848,0.354865279,0.18354345,0.302286782,-0.404867481,-0.000224396,-0.05192692,0.3953063,0.004669099,0.074242981,-0.380552698,-0.199032652,-0.326235341,0.451047068,-0.18764964,-0.19752235
 ,-0.380669047,0.15719165,0.184652109,0.300452131,0.161357074,0.292050019,-0.3599719,-0.012037231,-0.048843763,0.347899597,-0.002347822,0.060718868,-0.323387755,-0.143343006,-0.311724549,0.415676974,-0.160820665,-0.176852684
 ,-0.348654994,0.116477276,0.177723551,0.276166997,0.125029896,0.27443198,-0.316363005,0.00057667,-0.054315311,0.33599254,-0.01485046,0.064733002,-0.291225059,-0.095060065,-0.254374495,0.34408352,-0.132173317,-0.208198726
 ,-0.302402823,0.097075686,0.17136771,0.293174752,0.08299126,0.280054615,-0.279452767,0.009762724,-0.011279261,0.300561532,-0.024120364,0.030877585,-0.285538588,-0.054553629,-0.24726882,0.273657894,-0.111155677,-0.223751829
 ,-0.222844954,0.058578467,0.192165936,0.236728757,0.031731238,0.225568868,-0.227667049,0.007617473,0.00517986,0.215411688,-0.0372311,0.023813523,-0.194921465,-0.020000395,-0.218114524,0.193293023,-0.040695683,-0.228613662
 ,-0.183605593,0.008470499,0.181202195,0.180020992,-0.028335901,0.1964945,-0.156731894,-0.014194978,-0.002051407,0.161868609,-0.031179221,-0.010667856,-0.153853978,0.038460499,-0.189986216,0.152301864,0.026779102,-0.174991216
 ,-0.140003629,-0.04737424,0.152382354,0.135355406,-0.062053328,0.144935357,-0.137516313,-0.001865331,-0.010045349,0.12708709,-0.011961292,0.002914483,-0.123902417,0.059107544,-0.144418334,0.138979861,0.064146648,-0.145768511
