SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
14.8376,-29.0683,191.751,65.2332,-44.0099,177.509,10.5926,-30.8336,162.36,59.1434,-37.3236,151.887,-5.34223,-26.0462,131.405,66.0769,-33.6226,120.9,43.3978,11.832,166.237,36.4497,15.3327,146.718
10.5926,-30.8336,162.36,59.1434,-37.3236,151.887,-5.34223,-26.0462,131.405,66.0769,-33.6226,120.9,-10.7325,-26.1937,99.712,63.7785,-28.2852,96.369,36.1725,17.3656,138.471,30.5362,20.3394,118.148
-5.34223,-26.0462,131.405,66.0769,-33.6226,120.9,-10.7325,-26.1937,99.712,63.7785,-28.2852,96.369,-14.5768,-23.5988,71.6,59.9342,-25.6902,68.257,29.6225,22.0975,107.811,26.0889,25.4877,86.4829
-64.6507,13.2452,399.107,2.06955,21.7241,406.923,-60.3841,-2.6952,382.899,6.33615,5.78371,390.714,-52.3145,-18.0865,365.197,6.79975,-10.7058,375.999,-26.2596,28.7943,371.723,-24.2254,25.5125,360.888
-60.3841,-2.6952,382.899,6.33615,5.78371,390.714,-52.3145,-18.0865,365.197,6.79975,-10.7058,375.999,-45.0158,-31.8844,344.775,9.28882,-24.9457,358.877,-22.8679,22.4353,356.212,-20.096,17.8448,342.541
-52.3145,-18.0865,365.197,6.79975,-10.7058,375.999,-45.0158,-31.8844,344.775,9.28882,-24.9457,358.877,-36.6829,-40.2811,322.698,16.0668,-40.3094,340.457,-17.9854,15.0626,338.361,-12.2754,10.9207,326.096
-45.0158,-31.8844,344.775,9.28882,-24.9457,358.877,-36.6829,-40.2811,322.698,16.0668,-40.3094,340.457,-30.7028,-43.7452,303.306,22.9779,-54.6971,316.232,-7.94668,8.26386,321.047,-1.731,3.66234,310.008
-36.6829,-40.2811,322.698,16.0668,-40.3094,340.457,-30.7028,-43.7452,303.306,22.9779,-54.6971,316.232,-25.668,-46.3526,284.163,27.1112,-63.6674,286.795,1.93196,2.27164,304.338,5.68641,-1.33301,290.787
-30.7028,-43.7452,303.306,22.9779,-54.6971,316.232,-25.668,-46.3526,284.163,27.1112,-63.6674,286.795,-27.1238,-50.0791,265.393,26.2015,-65.036,253.65,6.42437,-1.53823,286.781,7.91722,-2.36223,274.024
-25.668,-46.3526,284.163,27.1112,-63.6674,286.795,-27.1238,-50.0791,265.393,26.2015,-65.036,253.65,-31.5409,-51.3308,239.905,20.1727,-58.5374,223.93,8.1967,-0.0870537,271.01,7.46169,0.068361,254.964
-27.1238,-50.0791,265.393,26.2015,-65.036,253.65,-31.5409,-51.3308,239.905,20.1727,-58.5374,223.93,-37.7773,-48.4222,211.61,14.8713,-48.1018,198.546,5.59266,1.4355,249.855,0.0561846,4.65944,236.818
